GENE_SYMBOL	GENE_NAME	MODEL_ID	ENTREZ_ID	XB_GENE_ID
LOC100491090	uncharacterized LOC100491090	XBXT10g013567	100491090	29080519
LOC100491107	beta-microseminoprotein	XBXT10g001608	100491107	29080523
LOC100491113	inositol-trisphosphate 3-kinase B	XBXT10g010991	100491113	29080527
LOC100491114	keratin, type I cytoskeletal 9	XBXT10g015251	100491114	29080531
LOC100491119	transmembrane protease serine 5	XBXT10g016537	100491119	29080535
LOC100491133	tyrosine-protein kinase SRK3	XBXT10g019931	100491133	29080539
LOC100491137	up-regulator of cell proliferation-like	XBXT10g020330	100491137	29080543
LOC100491155	leucine rich repeat containing 19	XBXT10g019981	100491155	29080547
LOC100491161	olfactory receptor 1019-like	XBXT10g015459	100491161	29080551
LOC100491162	protein mono-ADP-ribosyltransferase PARP15	XBXT10g000485	100491162	29080555
LOC100491170	C3a anaphylatoxin chemotactic receptor	XBXT10g016431	100491170	29080559
LOC100491180	extracellular calcium-sensing receptor	XBXT10g023238	100491180	29080563
LOC100491186	interferon-induced very large GTPase 1	XBXT10g010467	100491186	29080567
LOC100491214	matrix metalloproteinase-18	XBXT10g001624	100491214	29080571
LOC100491215	indolethylamine N-methyltransferase	XBXT10g006950	100491215	29080575
LOC100491223	vomeronasal type-2 receptor 26	XBXT10g025813	100491223	29080579
LOC100491227	synaptosomal-associated protein 25	XBXT10g018422	100491227	29080583
LOC100491233	uncharacterized LOC100491233	XBXT10g007480	100491233	29080587
LOC100491243	E3 ubiquitin/ISG15 ligase TRIM25	XBXT10g011018	100491243	29080591
LOC100491248	proteasomal ATPase-associated factor 1	XBXT10g006646	100491248	29080595
LOC100491286	nicotinamide N-methyltransferase	XBXT10g009922	100491286	29080599
LOC100491288	monocarboxylate transporter 2	XBXT10g016186	100491288	29080603
LOC100491289	olfactory receptor 1020-like	XBXT10g024652	100491289	29080607
LOC100491292	circularly permutated Ras protein 1	XBXT10g004390	100491292	29080611
LOC100491305	olfactory receptor 1052	XBXT10g004087	100491305	29080615
LOC100491310	uncharacterized LOC100491310	XBXT10g001632	100491310	29080619
LOC100491312	uncharacterized LOC100491312	XBXT10g016395	100491312	29080623
LOC100491331	vomeronasal type-2 receptor 26	XBXT10g028668	100491331	29080627
LOC100491338	olfactory receptor 6N2-like	XBXT10g018230	100491338	29080631
LOC100491339	chemokine-like receptor 1	XBXT10g011256	100491339	29080635
LOC100491345	vomeronasal type-2 receptor 26	XBXT10g027518	100491345	29080639
LOC100491349	uncharacterized LOC100491349	XBXT10g018279	100491349	29080643
LOC100491357	ovostatin-like	XBXT10g016226	100491357	29080647
LOC100491360	uncharacterized LOC100491360	XBXT10g026372	100491360	29080651
LOC100491382	interleukin-18 receptor 1	XBXT10g013113	100491382	29080655
LOC100491384	nicotinamide N-methyltransferase	XBXT10g013660	100491384	29080659
LOC100491385	uncharacterized protein C3orf20	XBXT10g016732	100491385	29080663
LOC100491388	vomeronasal type-2 receptor 26-like	XBXT10g023856	100491388	29080667
LOC100491399	heat shock protein beta-11	XBXT10g013946	100491399	29080671
LOC100491408	uncharacterized LOC100491408	XBXT10g019122	100491408	29080675
LOC100491410	vomeronasal type-2 receptor 26	XBXT10g006666	100491410	29080679
LOC100491420	probable N-acetyltransferase 16	XBXT10g019478	100491420	29080683
LOC100491436	olfactory receptor 5V1	XBXT10g014782	100491436	29080687
LOC100491437	uncharacterized LOC100491437	XBXT10g011602	100491437	29080691
LOC100491442	putative nuclease HARBI1	XBXT10g025394	100491442	29080695
LOC100491450	uncharacterized LOC100491450	XBXT10g012512	100491450	29080699
LOC100491454	uncharacterized LOC100491454	XBXT10g012197	100491454	29080703
LOC100491460	growth-regulated alpha protein	XBXT10g018240	100491460	29080707
LOC100491469	tyrosine-protein kinase Srms	XBXT10g019933	100491469	29080711
LOC100491493	acidic repeat-containing protein-like	XBXT10g006123	100491493	29080715
LOC100491497	vomeronasal type-2 receptor 26	XBXT10g023847	100491497	29080719
LOC100491504	chemokine-like receptor 1	XBXT10g000831	100491504	29080723
LOC100491511	interferon-induced very large GTPase 1	XBXT10g014491	100491511	29080727
LOC100491517	uncharacterized LOC100491517	XBXT10g017230	100491517	29080731
LOC100491521	E3 ubiquitin-protein ligase TRIM39-like	XBXT10g024497	100491521	29080735
LOC100491539	glucosaminyl (N-acetyl) transferase 2 (I blood group)	XBXT10g000108	100491539	29080739
LOC100491547	matrix metalloproteinase-18	XBXT10g016946	100491547	29080743
LOC100491548	indolethylamine N-methyltransferase	XBXT10g013115	100491548	29080747
LOC100491569	retinol dehydrogenase 8	XBXT10g006300	100491569	29080751
LOC100491571	histo-blood group ABO system transferase	XBXT10g010724	100491571	29080755
LOC100491574	F-box/WD repeat-containing protein 7	XBXT10g012240	100491574	29080759
LOC100491589	synaptotagmin-like protein 2	XBXT10g018111	100491589	29080763
LOC100491603	cytochrome P450 2K4	XBXT10g009461	100491603	29080767
LOC100491612	olfactory receptor 5V1-like	XBXT10g006005	100491612	29080771
LOC100491613	zinc finger protein 3	XBXT10g010946	100491613	29080775
LOC100491616	mucin-1	XBXT10g011719	100491616	29080779
LOC100491625	anillin, actin binding protein		100491625	29080783
LOC100491631	olfactory receptor 510	XBXT10g009620	100491631	29080787
LOC100491634	galanin peptides	XBXT10g001958	100491634	29080791
LOC100491664	vomeronasal type-2 receptor 26	XBXT10g023823	100491664	29080795
LOC100491668	eukaryotic translation initiation factor 2 subunit 1	XBXT10g015540	100491668	29080799
LOC100491693	uncharacterized LOC100491693	XBXT10g012045	100491693	29080803
LOC100491698	vomeronasal type-2 receptor 26	XBXT10g028427	100491698	29080807
LOC100491706	NACHT, LRR and PYD domains-containing protein 14	XBXT10g003920	100491706	29080811
LOC100491712	collagen alpha-1(XXI) chain	XBXT10g011750	100491712	29080815
LOC100491715	P2Y purinoceptor 1	XBXT10g018099	100491715	29080819
LOC100491716	C-C chemokine receptor type 3	XBXT10g017921	100491716	29080823
LOC100491722	F-actin-uncapping protein LRRC16A	XBXT10g011033	100491722	29080827
LOC100491733	immunoglobulin lambda-1 light chain	XBXT10g011189	100491733	29080831
LOC100491742	histo-blood group ABO system transferase	XBXT10g018958	100491742	29080835
LOC100491743	homeobox protein Mix.1-like	XBXT10g012745	100491743	29080839
LOC100491748	olfactory receptor 11L1-like	XBXT10g026293	100491748	29080843
LOC100491749	uncharacterized LOC100491749	XBXT10g017026	100491749	29080847
LOC100491764	E3 ubiquitin/ISG15 ligase TRIM25	XBXT10g009917	100491764	29080851
LOC100491773	cytochrome P450 2K1	XBXT10g002543	100491773	29080855
LOC100491783	olfactory receptor 5V1	XBXT10g010654	100491783	29080859
LOC100491787	olfactory receptor 10J4-like	XBXT10g001316	100491787	29080863
LOC100491788	metalloproteinase ADAM10-like	XBXT10g005895	100491788	29080867
LOC100491791	uncharacterized LOC100491791	XBXT10g009378	100491791	29080871
LOC100491797	P2Y purinoceptor 4	XBXT10g006917	100491797	29080875
LOC100491799	olfactory receptor 11L1-like	XBXT10g015912	100491799	29080879
LOC100491800	extracellular calcium-sensing receptor	XBXT10g025540	100491800	29080883
LOC100491804	kelch repeat-containing protein 2	XBXT10g017778	100491804	29080887
LOC100491808	olfactory receptor 146	XBXT10g016728	100491808	29080891
LOC100491826	centromere protein H	XBXT10g001309	100491826	29080895
LOC100491830	aquaporin-5	XBXT10g003443	100491830	29080899
LOC100491832	traf2 and NCK-interacting protein kinase-like	XBXT10g012182	100491832	29080903
LOC100491833	vomeronasal type-2 receptor 26-like	XBXT10g024414	100491833	29080907
LOC100491854	taste receptor type 1 member 1	XBXT10g026393	100491854	29080911
LOC100491871	cleavage stimulation factor subunit 3-like	XBXT10g001798	100491871	29080915
LOC100491885	P2Y purinoceptor 1	XBXT10g017239	100491885	29080919
LOC100491890	nicotinamide N-methyltransferase	XBXT10g017569	100491890	29080923
LOC100491906	E3 ubiquitin-protein ligase TRIM69	XBXT10g004409	100491906	29080927
LOC100491907	uncharacterized LOC100491907	XBXT10g010223	100491907	29080931
LOC100491908	histo-blood group ABO system transferase	XBXT10g001320	100491908	29080935
LOC100491917	KAT8 regulatory NSL complex subunit 1	XBXT10g000537	100491917	29080939
LOC100491920	E3 ubiquitin/ISG15 ligase TRIM25	XBXT10g026446	100491920	29080943
LOC100491930	cell surface hyaluronidase	XBXT10g004688	100491930	29080947
LOC100491937	stereocilin	XBXT10g010089	100491937	29080951
LOC100491943	putative ferric-chelate reductase 1	XBXT10g006874	100491943	29080955
LOC100491961	olfactory receptor 1019	XBXT10g007277	100491961	29080959
LOC100491968	complement C3	XBXT10g018292	100491968	29080963
LOC100491973	vomeronasal type-2 receptor 26	XBXT10g022585	100491973	29080967
LOC100491979	E3 ubiquitin-protein ligase TRIM7	XBXT10g005368	100491979	29080971
LOC100492000	fish-egg lectin-like	XBXT10g018392	100492000	29080975
LOC100492004	vomeronasal type-2 receptor 26	XBXT10g028094	100492004	29080979
LOC100492008	galectin-related protein-like	XBXT10g013166	100492008	29080983
LOC100492011	olfactory receptor 12D3	XBXT10g004491	100492011	29080987
LOC100492027	olfactory receptor 13H1-like	XBXT10g014496	100492027	29080991
LOC100492031	vomeronasal type-2 receptor 26	XBXT10g020451	100492031	29080995
LOC100492034	protein CXorf21 homolog	XBXT10g010294	100492034	29080999
LOC100492058	tetraspanin-33	XBXT10g002718	100492058	29081003
LOC100492062	nicotinamide N-methyltransferase	XBXT10g012733	100492062	29081007
LOC100492076	high affinity choline transporter 1	XBXT10g018127	100492076	29081011
LOC100492077	uncharacterized LOC100492077	XBXT10g013507	100492077	29081015
LOC100492080	uncharacterized LOC100492080	XBXT10g008484	100492080	29081019
LOC100492100	coagulation factor XIII B chain	XBXT10g010864	100492100	29081023
LOC100492134	complement C3	XBXT10g006665	100492134	29081027
LOC100492137	extracellular calcium-sensing receptor	XBXT10g012479	100492137	29081031
LOC100492139	up-regulator of cell proliferation	XBXT10g006170	100492139	29081035
LOC100492142	E3 ubiquitin-protein ligase TRIM7	XBXT10g024412	100492142	29081039
LOC100492152	variable charge X-linked protein 3B	XBXT10g027034	100492152	29081043
LOC100492165	putative inactive cytochrome P450 2G1	XBXT10g018749	100492165	29081047
LOC100492167	general transcription factor II-I repeat domain-containing protein 2A-like	XBXT10g022879	100492167	29081051
LOC100492173	fibronectin type III domain containing 3A	XBXT10g006561	100492173	29081055
LOC100492187	DNA (cytosine-5)-methyltransferase 3A	XBXT10g010745	100492187	29081059
LOC100492190	phospholipase A2 inhibitor subunit gamma B	XBXT10g008061	100492190	29081063
LOC100492191	extracellular calcium-sensing receptor-like	XBXT10g026573	100492191	29081067
LOC100492197	uncharacterized LOC100492197	XBXT10g018406	100492197	29081071
LOC100492199	vomeronasal type-2 receptor 26	XBXT10g024473	100492199	29081075
LOC100492223	nicotinamide N-methyltransferase	XBXT10g002736	100492223	29081079
LOC100492237	potassium voltage-gated channel subfamily H member 8	XBXT10g003540	100492237	29081083
LOC100492238	taste receptor type 2 member 4-like	XBXT10g019483	100492238	29081087
LOC100492272	gamma-crystallin-4-like	XBXT10g025037	100492272	29081091
LOC100492280	prolyl 4-hydroxylase subunit alpha-1	XBXT10g003960	100492280	29081095
LOC100492282	mas-related G-protein coupled receptor member D	XBXT10g014773	100492282	29081099
LOC100492285	olfactory receptor 1019	XBXT10g012097	100492285	29081103
LOC100492303	E3 ubiquitin-protein ligase RNF152-like	XBXT10g002923	100492303	29081107
LOC100492329	mucin-2	XBXT10g006660	100492329	29081111
LOC100492335	olfactory receptor 12D3	XBXT10g025771	100492335	29081115
LOC100492345	vomeronasal type-2 receptor 26	XBXT10g021402	100492345	29081119
LOC100492347	extracellular calcium-sensing receptor	XBXT10g022975	100492347	29081123
LOC100492368	uncharacterized LOC100492368	XBXT10g004872	100492368	29081127
LOC100492377	uncharacterized LOC100492377	XBXT10g008049	100492377	29081131
LOC100492379	alpha-1,4-N-acetylglucosaminyltransferase	XBXT10g014974	100492379	29081135
LOC100492396	melanoregulin	XBXT10g006143	100492396	29081139
LOC100492398	loricrin	XBXT10g007883	100492398	29081143
LOC100492399	histone H1-like	XBXT10g004154	100492399	29081147
LOC100492409	solute carrier family 40 member 1	XBXT10g014903	100492409	29081151
LOC100492415	uncharacterized LOC100492415	XBXT10g002763	100492415	29081155
LOC100492420	uncharacterized LOC100492420	XBXT10g009164	100492420	29081159
LOC100492428	uncharacterized LOC100492428	XBXT10g015111	100492428	29081163
LOC100492434	leucine-rich repeat and coiled-coil domain-containing protein 1-like	XBXT10g003892	100492434	29081167
LOC100492437	uncharacterized LOC100492437	XBXT10g001773	100492437	29081171
LOC100492444	bile salt-activated lipase	XBXT10g012840	100492444	29081175
LOC100492449	olfactory receptor-like protein COR9	XBXT10g028125	100492449	29081179
LOC100492458	olfactory receptor 11L1-like	XBXT10g002585	100492458	29081183
LOC100492460	syntaxin-binding protein 4	XBXT10g003825	100492460	29081187
LOC100492479	somatomedin-B and thrombospondin type-1 domain-containing protein	XBXT10g014046	100492479	29081191
LOC100492487	uncharacterized LOC100492487	XBXT10g002803	100492487	29081195
LOC100492496	PHD finger protein 6	XBXT10g000179	100492496	29081199
LOC100492502	olfactory receptor 12D2-like	XBXT10g003502	100492502	29081203
LOC100492511	extracellular calcium-sensing receptor	XBXT10g025018	100492511	29081207
LOC100492514	myb-related transcription factor, partner of profilin	XBXT10g018145	100492514	29081211
LOC100492519	uncharacterized LOC100492519	XBXT10g010044	100492519	29081215
LOC100492521	E3 ubiquitin/ISG15 ligase TRIM25	XBXT10g014851	100492521	29081219
LOC100492529	tripartite motif-containing protein 44-like	XBXT10g013340	100492529	29081223
LOC100492545	uncharacterized LOC100492545	XBXT10g002948	100492545	29081227
LOC100492546	uncharacterized LOC100492546	XBXT10g005030	100492546	29081231
LOC100492550	cocaine- and amphetamine-regulated transcript protein	XBXT10g016722	100492550	29081235
LOC100492564	taste receptor type 2 member 43	XBXT10g002327	100492564	29081239
LOC100492569	F-box/WD repeat-containing protein 7	XBXT10g005624	100492569	29081243
LOC100492592	olfactory receptor 1444	XBXT10g012381	100492592	29081247
LOC100492603	dimethylaniline monooxygenase [N-oxide-forming] 2-like	XBXT10g001150	100492603	29081251
LOC100492627	extracellular calcium-sensing receptor	XBXT10g001698	100492627	29081255
LOC100492630	up-regulator of cell proliferation	XBXT10g000746	100492630	29081259
LOC100492634	cathepsin S	XBXT10g016178	100492634	29081263
LOC100492641	tyrosinase-like	XBXT10g021741	100492641	29081267
LOC100492643	uncharacterized LOC100492643	XBXT10g011096	100492643	29081271
LOC100492657	protein AF-10	XBXT10g014767	100492657	29081275
LOC100492663	olfactory receptor 12D3-like	XBXT10g004008	100492663	29081279
LOC100492667	phospholipase B1, membrane-associated	XBXT10g005169	100492667	29081283
LOC100492682	extracellular calcium-sensing receptor	XBXT10g023270	100492682	29081287
LOC100492687	gastrula zinc finger protein 5-1	XBXT10g009397	100492687	29081291
LOC100492689	vomeronasal type-2 receptor 26	XBXT10g021274	100492689	29081295
LOC100492690	cadherin-like protein 26	XBXT10g013560	100492690	29081299
LOC100492691	dual specificity phosphatase DUPD1	XBXT10g010491	100492691	29081303
LOC100492723	sarcolipin	XBXT10g021341	100492723	29081307
LOC100492724	nicotinamide N-methyltransferase	XBXT10g003343	100492724	29081311
LOC100492742	zinc finger protein 271	XBXT10g009282	100492742	29081315
LOC100492744	histo-blood group ABO system transferase	XBXT10g005128	100492744	29081319
LOC100492749	olfactory receptor 1468-like	XBXT10g028321	100492749	29081323
LOC100492755	myosin-2 heavy chain, non muscle	XBXT10g002075	100492755	29081327
LOC100492758	thyroid adenoma-associated protein homolog	XBXT10g012468	100492758	29081331
LOC100492768	peptidyl-prolyl cis-trans isomerase FKBP8	XBXT10g002937	100492768	29081335
LOC100492795	uncharacterized LOC100492795	XBXT10g008764	100492795	29081339
LOC100492797	olfactory receptor 2G6	XBXT10g007590	100492797	29081343
LOC100492806	2-epi-5-epi-valiolone synthase	XBXT10g008719	100492806	29081347
LOC100492837	olfactory receptor 5V1	XBXT10g013740	100492837	29081351
LOC100492849	nuclear speckle splicing regulatory protein 1-like	XBXT10g022891	100492849	29081355
LOC100492853	extracellular calcium-sensing receptor	XBXT10g021269	100492853	29081359
LOC100492856	olfactory receptor 1019-like	XBXT10g018059	100492856	29081363
LOC100492857	uncharacterized LOC100492857	XBXT10g027649	100492857	29081367
LOC100492858	thiosulfate sulfurtransferase	XBXT10g005665	100492858	29081371
LOC100492859	gastrula zinc finger protein XlCGF8.2DB	XBXT10g026966	100492859	29081375
LOC100492860	vomeronasal type-2 receptor 26	XBXT10g027672	100492860	29081379
LOC100492862	uncharacterized LOC100492862	XBXT10g011973	100492862	29081383
LOC100492865	carnitine O-palmitoyltransferase 1, liver isoform	XBXT10g020221	100492865	29081387
LOC100492877	butyrophilin subfamily 2 member A2	XBXT10g010505	100492877	29081391
LOC100492884	colorectal mutant cancer protein	XBXT10g004055	100492884	29081395
LOC100492889	nicotinamide N-methyltransferase	XBXT10g003452	100492889	29081399
LOC100492897	uncharacterized LOC100492897	XBXT10g006771	100492897	29081403
LOC100492907	histo-blood group ABO system transferase	XBXT10g009487	100492907	29081407
LOC100492908	potassium voltage-gated channel subfamily KQT member 1	XBXT10g000257	100492908	29081411
LOC100492911	uncharacterized LOC100492911	XBXT10g016336	100492911	29081415
LOC100492943	proteinase-activated receptor 3	XBXT10g010786	100492943	29081419
LOC100492951	tetraspanin 4	XBXT10g018142	100492951	29081423
LOC100492954	tumor necrosis factor receptor superfamily member 9	XBXT10g000602	100492954	29081427
LOC100492955	hexokinase-2	XBXT10g005023	100492955	29081431
LOC100492957	claudin-16	XBXT10g018571	100492957	29081435
LOC100492960	protein kinase C theta type	XBXT10g008266	100492960	29081439
LOC100492966	A.superbus venom factor 1	XBXT10g003745	100492966	29081443
LOC100492970	extracellular calcium-sensing receptor	XBXT10g021664	100492970	29081447
LOC100492971	myeloid-associated differentiation marker homolog	XBXT10g013030	100492971	29081451
LOC100492973	perforin-1	XBXT10g007914	100492973	29081455
LOC100492975	histone H2A type 1	XBXT10g011109	100492975	29081459
LOC100492977	E3 ubiquitin-protein ligase TRIM11	XBXT10g002816	100492977	29081463
LOC100492996	vasoactive intestinal polypeptide receptor	XBXT10g014227	100492996	29081467
LOC100493003	olfactory receptor 5V1-like	XBXT10g029553	100493003	29081471
LOC100493005	olfactory receptor 5V1-like	XBXT10g008127	100493005	29081475
LOC100493006	CD209 antigen-like protein C	XBXT10g002356	100493006	29081479
LOC100493016	extracellular calcium-sensing receptor	XBXT10g026951	100493016	29081483
LOC100493023	vomeronasal type-2 receptor 26-like	XBXT10g023183	100493023	29081487
LOC100493026	uncharacterized LOC100493026	XBXT10g015652	100493026	29081491
LOC100493051	nicotinamide N-methyltransferase	XBXT10g009025	100493051	29081495
LOC100493066	uncharacterized LOC100493066	XBXT10g006776	100493066	29081499
LOC100493091	lysosomal-associated transmembrane protein 5	XBXT10g001425	100493091	29081503
LOC100493093	histone H1B	XBXT10g004165	100493093	29081507
LOC100493102	transmembrane protein 272	XBXT10g025431	100493102	29081511
LOC100493106	protocadherin gamma-B5	XBXT10g000799	100493106	29081515
LOC100493121	myosin-4	XBXT10g012457	100493121	29081519
LOC100493136	extracellular calcium-sensing receptor	XBXT10g022397	100493136	29081523
LOC100493137	cytoplasmic phosphatidylinositol transfer protein 1	XBXT10g009055	100493137	29081527
LOC100493138	transmembrane 4 L6 family member 4	XBXT10g002995	100493138	29081531
LOC100493140	perforin-1	XBXT10g006274	100493140	29081535
LOC100493150	E3 ubiquitin/ISG15 ligase TRIM25	XBXT10g023347	100493150	29081539
LOC100493151	myelin-oligodendrocyte glycoprotein-like	XBXT10g025502	100493151	29081543
LOC100493166	lysozyme C-like	XBXT10g027020	100493166	29081547
LOC100493172	olfactory receptor 5V1-like	XBXT10g000121	100493172	29081551
LOC100493184	IgGFc-binding protein	XBXT10g016425	100493184	29081555
LOC100493185	vomeronasal type-2 receptor 116	XBXT10g028444	100493185	29081559
LOC100493186	zonadhesin	XBXT10g015210	100493186	29081563
LOC100493187	olfactory receptor 1019-like	XBXT10g020752	100493187	29081567
LOC100493189	gastrula zinc finger protein XlCGF26.1-like	XBXT10g025285	100493189	29081571
LOC100493190	phospholipase A2 inhibitor 25 kDa subunit	XBXT10g005877	100493190	29081575
LOC100493192	uncharacterized LOC100493192	XBXT10g005330	100493192	29081579
LOC100493202	extensin	XBXT10g006144	100493202	29081583
LOC100493204	palmitoleoyl-protein carboxylesterase notum2	XBXT10g012528	100493204	29081587
LOC100493210	cyclin-O protein B	XBXT10g006278	100493210	29081591
LOC100493218	alpha-1,4-N-acetylglucosaminyltransferase	XBXT10g005203	100493218	29081595
LOC100493230	vomeronasal type-2 receptor 26-like	XBXT10g027121	100493230	29081599
LOC100493232	alpha-1,4-N-acetylglucosaminyltransferase	XBXT10g019684	100493232	29081603
LOC100493237	Fc receptor-like protein 3	XBXT10g003410	100493237	29081607
LOC100493246	olfactory receptor 1468-like	XBXT10g025166	100493246	29081611
LOC100493247	carcinoembryonic antigen-related cell adhesion molecule 2	XBXT10g005131	100493247	29081615
LOC100493256	uncharacterized LOC100493256	XBXT10g001349	100493256	29081619
LOC100493262	gamma-aminobutyric acid receptor subunit rho-1	XBXT10g022969	100493262	29081623
LOC100493268	mucin-12	XBXT10g007581	100493268	29081627
LOC100493274	protocadherin gamma-B2	XBXT10g008286	100493274	29081631
LOC100493285	caltractin	XBXT10g007420	100493285	29081635
LOC100493298	extracellular calcium-sensing receptor-like	XBXT10g020665	100493298	29081639
LOC100493300	perforin-1	XBXT10g014959	100493300	29081643
LOC100493330	lysozyme C	XBXT10g013396	100493330	29081647
LOC100493336	aldehyde oxidase 2	XBXT10g009950	100493336	29081651
LOC100493338	transcription factor 15	XBXT10g012712	100493338	29081655
LOC100493356	ninjurin-2	XBXT10g000061	100493356	29081659
LOC100493378	chemokine-like receptor 1	XBXT10g005061	100493378	29081663
LOC100493381	carcinoembryonic antigen-related cell adhesion molecule 3	XBXT10g004574	100493381	29081667
LOC100493382	neural-cadherin	XBXT10g000835	100493382	29081671
LOC100493400	olfactory receptor 2D2-like	XBXT10g004325	100493400	29081675
LOC100493406	NACHT, LRR and PYD domains-containing protein 12	XBXT10g012339	100493406	29081679
LOC100493416	olfactory receptor 5G3-like	XBXT10g024686	100493416	29081683
LOC100493418	carcinoembryonic antigen-related cell adhesion molecule 8-like	XBXT10g028736	100493418	29081687
LOC100493420	uncharacterized LOC100493420	XBXT10g021870	100493420	29081691
LOC100493422	ecto-ADP-ribosyltransferase 5-like	XBXT10g027767	100493422	29081695
LOC100493429	erythrocyte band 7 integral membrane protein-like	XBXT10g006431	100493429	29081699
LOC100493445	protocadherin gamma-B5	XBXT10g002195	100493445	29081703
LOC100493446	extended synaptotagmin-1	XBXT10g013582	100493446	29081707
LOC100493447	uncharacterized LOC100493447	XBXT10g006502	100493447	29081711
LOC100493453	uncharacterized LOC100493453	XBXT10g016595	100493453	29081715
LOC100493456	zinc finger protein ZIC 1	XBXT10g007430	100493456	29081719
LOC100493461	cathepsin E	XBXT10g012338	100493461	29081723
LOC100493464	uncharacterized LOC100493464	XBXT10g029448	100493464	29081727
LOC100493468	E3 ubiquitin/ISG15 ligase TRIM25	XBXT10g020651	100493468	29081731
LOC100493498	olfactory receptor 11L1-like	XBXT10g002329	100493498	29081735
LOC100493503	uncharacterized LOC100493503	XBXT10g001574	100493503	29081739
LOC100493511	tubulin monoglycylase TTLL3	XBXT10g023463	100493511	29081743
LOC100493515	olfactory receptor 1019-like	XBXT10g026111	100493515	29081747
LOC100493516	zinc finger protein 585A-like	XBXT10g017432	100493516	29081751
LOC100493517	sialic acid-binding Ig-like lectin 10	XBXT10g009178	100493517	29081755
LOC100493522	oocyte zinc finger protein XlCOF6-like	XBXT10g009920	100493522	29081759
LOC100493526	trichohyalin	XBXT10g002016	100493526	29081763
LOC100493528	sulfotransferase 1C2-like	XBXT10g004790	100493528	29081767
LOC100493539	uncharacterized LOC100493539	XBXT10g014174	100493539	29081771
LOC100493548	protein SSUH2 homolog	XBXT10g009230	100493548	29081775
LOC100493554	vomeronasal type-2 receptor 26	XBXT10g028678	100493554	29081779
LOC100493555	alpha-1,4-N-acetylglucosaminyltransferase-like	XBXT10g006086	100493555	29081783
LOC100493556	zinc finger protein 135-like	XBXT10g002930	100493556	29081787
LOC100493565	olfactory receptor 1009-like	XBXT10g010904	100493565	29081791
LOC100493567	uncharacterized LOC100493567	XBXT10g015023	100493567	29081795
LOC100493571	olfactory receptor 11L1-like	XBXT10g024326	100493571	29081799
LOC100493583	multidrug resistance-associated protein 1	XBXT10g008603	100493583	29081803
LOC100493584	chromosomal serine/threonine-protein kinase JIL-1	XBXT10g023055	100493584	29081807
LOC100493596	protocadherin gamma-B5	XBXT10g008028	100493596	29081811
LOC100493597	extended synaptotagmin-1	XBXT10g013581	100493597	29081815
LOC100493599	spermatogenesis-associated protein 7 homolog	XBXT10g002343	100493599	29081819
LOC100493618	uncharacterized LOC100493618	XBXT10g005512	100493618	29081823
LOC100493666	uncharacterized LOC100493666	XBXT10g018195	100493666	29081827
LOC100493683	vomeronasal type-2 receptor 26-like	XBXT10g028421	100493683	29081831
LOC100493684	olfactory receptor 1019-like	XBXT10g021810	100493684	29081835
LOC100493685	zinc finger protein 665-like	XBXT10g005367	100493685	29081839
LOC100493708	inactive dipeptidyl peptidase 10-like	XBXT10g023317	100493708	29081843
LOC100493717	vomeronasal type-2 receptor 26	XBXT10g004648	100493717	29081847
LOC100493718	uncharacterized LOC100493718	XBXT10g028071	100493718	29081851
LOC100493719	fucolectin-4	XBXT10g016096	100493719	29081855
LOC100493724	C-Jun-amino-terminal kinase-interacting protein 4	XBXT10g002314	100493724	29081859
LOC100493728	serine/threonine-protein kinase N1-like	XBXT10g025552	100493728	29081863
LOC100493748	ryncolin-1	XBXT10g002105	100493748	29081867
LOC100493770	netrin 1	XBXT10g015311	100493770	29081871
LOC100493773	tetratricopeptide repeat protein 24	XBXT10g013362	100493773	29081875
LOC100493774	myosin-10	XBXT10g006633	100493774	29081879
LOC100493779	C-C motif chemokine 4	XBXT10g005871	100493779	29081883
LOC100493787	gastrula zinc finger protein XlCGF8.2DB	XBXT10g011850	100493787	29081887
LOC100493797	oocyte zinc finger protein XlCOF7.1	XBXT10g019859	100493797	29081891
LOC100493805	uncharacterized LOC100493805	XBXT10g015450	100493805	29081895
LOC100493819	fatty acyl-CoA hydrolase precursor, medium chain	XBXT10g001113	100493819	29081899
LOC100493820	scavenger receptor cysteine-rich type 1 protein M160-like	XBXT10g006552	100493820	29081903
LOC100493823	hexokinase HKDC1	XBXT10g008864	100493823	29081907
LOC100493841	heme-binding protein 2	XBXT10g007300	100493841	29081911
LOC100493846	olfactory receptor 1019	XBXT10g029243	100493846	29081915
LOC100493847	gastrula zinc finger protein XlCGF58.1-like	XBXT10g021595	100493847	29081919
LOC100493855	extended synaptotagmin-1	XBXT10g013583	100493855	29081923
LOC100493862	uncharacterized LOC100493862	XBXT10g000517	100493862	29081927
LOC100493872	alpha-1,4-N-acetylglucosaminyltransferase	XBXT10g001183	100493872	29081931
LOC100493885	fucolectin	XBXT10g018331	100493885	29081935
LOC100493904	uncharacterized LOC100493904	XBXT10g000723	100493904	29081939
LOC100493912	matrix metalloproteinase-21	XBXT10g006847	100493912	29081943
LOC100493925	disintegrin and metalloproteinase domain-containing protein 9	XBXT10g003887	100493925	29081947
LOC100493928	cytochrome P450 2K6	XBXT10g005377	100493928	29081951
LOC100493932	ribonuclease H1-like	XBXT10g027631	100493932	29081955
LOC100493940	alpha-2Db adrenergic receptor	XBXT10g009878	100493940	29081959
LOC100493950	cystatin-A	XBXT10g016174	100493950	29081963
