# UNIPROT_ACC,REFSEQ_PROT_ID,REFSEQ_RNA_ID,NCBI_GENE_ID,XB_GENE_ID
A0A023W428,NP_001278991.1,NM_001292062.1,GeneID:100492429,XB-GENE-1216189
A0A6I8SKE0,XP_031749812.1,XM_031893952.1,GeneID:100124871,XB-GENE-950034
A0A6I8SKE4,XP_002936132.2,XM_002936086.5,GeneID:100495208,XB-GENE-987941
A0A6I8SKF2,XP_002937319.1,XM_002937273.5,GeneID:548983,XB-GENE-1005141
A0A6I8SKF8,XP_012825393.1,XM_012969939.3,GeneID:100124714,XB-GENE-976188
A0A6I8SKH0,XP_004918970.1,XM_004918913.4,GeneID:100489530,XB-GENE-22068270
A0A6I8SKH1,XP_031760079.1,XM_031904219.1,GeneID:101733242,XB-GENE-29086823
A0A6I8SKI3,XP_012817575.2,XM_012962121.2,GeneID:100145713,XB-GENE-5871815
A0A6I8SKI4,XP_004911211.1,XM_004911154.4,GeneID:100496836,XB-GENE-6460860
A0A6I8SKI6,XP_031756043.1,XM_031900183.1,GeneID:779653,XB-GENE-1001255
A0A6I8SKJ4,XP_017947390.1,XM_018091901.2,GeneID:100101773,XB-GENE-920552
A0A6I8SKK1,XP_012822483.1,XM_012967029.3,GeneID:105947790,XB-GENE-29089719
A0A6I8SKM0,XP_002932767.1,XM_002932721.5,GeneID:100491883,XB-GENE-487474
A0A6I8SKM3,XP_004917223.2,XM_004917166.3,GeneID:100495642,XB-GENE-22067952
A0A6I8SKN1,XP_004914881.2,XM_004914824.4,GeneID:100493305,XB-GENE-6465621
A0A6I8SKQ4,XP_012812008.1,XM_012956554.2,GeneID:100216056,XB-GENE-6085047
A0A6I8SKR5,XP_031759168.1,XM_031903308.1,GeneID:448066,XB-GENE-1013479
A0A6I8SKS4,XP_002941040.3,XM_002940994.5,GeneID:100493409,XB-GENE-958816
A0A6I8SKT5,XP_004916210.1,XM_004916153.4,GeneID:101733463,XB-GENE-22068398
A0A6I8SKU1,XP_012815927.2,XM_012960473.3,GeneID:100124943,XB-GENE-946438
A0A6I8SKU3,XP_002933357.1,XM_002933311.5,GeneID:100498038,XB-GENE-983153
A0A6I8SKU6,XP_012820433.2,XM_012964979.3,GeneID:100492810,XB-GENE-995488
A0A6I8SKU7,XP_004912091.2,XM_004912034.4,GeneID:734032,XB-GENE-5931039
A0A6I8SKW3,XP_012811086.1,XM_012955632.3,GeneID:100144958,XB-GENE-5742525
A0A6I8SKW8,XP_004914192.2,XM_004914135.4,GeneID:779502,XB-GENE-486416
A0A6I8SKX2,XP_004916147.1,XM_004916090.4,GeneID:100496522,XB-GENE-6033349
A0A6I8SKY0,XP_012819898.1,XM_012964444.2,GeneID:394825,XB-GENE-484391
A0A6I8SKZ1,XP_012812635.2,XM_012957181.3,GeneID:734093,XB-GENE-478898
A0A6I8SKZ8,XP_012814749.1,XM_012959295.3,GeneID:780346,XB-GENE-487220
A0A6I8SL00,XP_012820838.2,XM_012965384.3,GeneID:100216283,XB-GENE-988335
A0A6I8SL03,XP_002942891.1,XM_002942845.5,GeneID:100495826,XB-GENE-962372
A0A6I8SL12,XP_012814034.1,XM_012958580.3,GeneID:100145444,XB-GENE-5961068
A0A6I8SL22,NP_001016026.1,NM_001016026.3,GeneID:548780,XB-GENE-965159
A0A6I8SL27,XP_031755865.1,XM_031900005.1,GeneID:448447,XB-GENE-484088
A0A6I8SL51,XP_012823082.2,XM_012967628.3,GeneID:100489887,XB-GENE-5924815
A0A6I8SL78,XP_031750229.1,XM_031894369.1,GeneID:100216260,XB-GENE-5997807
A0A6I8SL85,XP_012816558.1,XM_012961104.3,GeneID:549266,XB-GENE-941038
A0A6I8SLB0,XP_031746324.1,XM_031890464.1,GeneID:549437,XB-GENE-5962599
A0A6I8SLB5,XP_031758801.1,XM_031902941.1,GeneID:100379943,XB-GENE-5881523
A0A6I8SLC1,XP_002935313.1,XM_002935267.5,GeneID:100498313,XB-GENE-853641
A0A6I8SLD7,XP_012820670.2,XM_012965216.3,GeneID:100490880,XB-GENE-853604
A0A6I8SLE5,XP_012826604.2,XM_012971150.3,GeneID:100485110,XB-GENE-1032931
A0A6I8SLE6,XP_031756759.1,XM_031900899.1,GeneID:100036704,XB-GENE-998168
A0A6I8SLE9,XP_002939125.2,XM_002939079.5,GeneID:100486196,XB-GENE-992598
A0A6I8SLF0,XP_031747722.1,XM_031891862.1,GeneID:100488634,XB-GENE-877173
A0A6I8SLF1,XP_017952180.1,XM_018096691.2,GeneID:733740,XB-GENE-993455
A0A6I8SLF2,XP_004916444.1,XM_004916387.3,GeneID:101731406,XB-GENE-29085327
A0A6I8SLG4,XP_017949326.1,XM_018093837.2,GeneID:594989,XB-GENE-478294
A0A6I8SLH0,XP_012815128.1,XM_012959674.2,GeneID:100487523,XB-GENE-6096145
A0A6I8SLI4,XP_004918091.1,XM_004918034.4,GeneID:549590,XB-GENE-981776
A0A6I8SLI6,XP_002937300.1,XM_002937254.3,GeneID:100494390,XB-GENE-5884825
A0A6I8SLJ9,XP_004917245.2,XM_004917188.4,GeneID:100491850,XB-GENE-6051360
A0A6I8SLM0,XP_017946280.2,XM_018090791.2,GeneID:100498255,XB-GENE-877130
A0A6I8SLM2,XP_031748259.1,XM_031892399.1,GeneID:100486378,XB-GENE-22169229
A0A6I8SLM4,XP_012820008.1,XM_012964554.3,GeneID:493216,XB-GENE-942152
A0A6I8SLN0,XP_004918556.1,XM_004918499.4,GeneID:100486264,XB-GENE-1010924
A0A6I8SLR8,XP_002931916.2,XM_002931870.5,GeneID:100492477,XB-GENE-22068937
A0A6I8SLS0,XP_031753937.1,XM_031898077.1,GeneID:780196,XB-GENE-959274
A0A6I8SLS4,XP_017951326.2,XM_018095837.2,GeneID:100144658,XB-GENE-854910
A0A6I8SLS9,XP_012821979.1,XM_012966525.3,GeneID:496849,XB-GENE-1009063
A0A6I8SLT9,XP_002937771.1,XM_002937725.4,GeneID:100497014,XB-GENE-973728
A0A6I8SLV3,XP_002934406.2,XM_002934360.5,GeneID:100485266,XB-GENE-29077715
A0A6I8SLW4,XP_004918068.1,XM_004918011.3,GeneID:100490925,XB-GENE-1010698
A0A6I8SLX2,XP_012818510.1,XM_012963056.3,GeneID:549668,XB-GENE-6257679
A0A6I8SLY3,XP_031758349.1,XM_031902489.1,GeneID:100422807,XB-GENE-988182
A0A6I8SLY8,XP_012818310.1,XM_012962856.2,GeneID:407853,XB-GENE-495035
A0A6I8SLZ6,XP_012813143.2,XM_012957689.3,GeneID:100493828,XB-GENE-6465370
A0A6I8SLZ9,XP_031755123.1,XM_031899263.1,GeneID:100490873,XB-GENE-922923
A0A6I8SM05,XP_031761430.1,XM_031905570.1,GeneID:100495601,XB-GENE-961934
A0A6I8SM13,XP_031757119.1,XM_031901259.1,GeneID:100486292,XB-GENE-993949
A0A6I8SM20,XP_017950702.1,XM_018095213.2,GeneID:100101665,XB-GENE-919827
A0A6I8SM46,XP_012811182.2,XM_012955728.3,GeneID:100127583,XB-GENE-5767013
A0A6I8SM47,XP_031750621.1,XM_031894761.1,GeneID:733554,XB-GENE-486618
A0A6I8SM54,XP_031762258.1,XM_031906398.1,GeneID:100496998,XB-GENE-478982
A0A6I8SM56,XP_012816791.1,XM_012961337.3,GeneID:779980,XB-GENE-953635
A0A6I8SM78,XP_031751260.1,XM_031895400.1,GeneID:100492163,XB-GENE-950958
A0A6I8SM83,XP_002934885.2,XM_002934839.5,GeneID:100492169,XB-GENE-952324
A0A6I8SM89,XP_031756322.1,XM_031900462.1,GeneID:100496293,XB-GENE-5917670
A0A6I8SM91,XP_002941049.1,XM_002941003.5,GeneID:100494719,XB-GENE-22068209
A0A6I8SMA3,XP_012819608.1,XM_012964154.3,GeneID:100038259,XB-GENE-966419
A0A6I8SMB2,XP_012811628.1,XM_012956174.3,GeneID:100489785,XB-GENE-6042490
A0A6I8SMC4,XP_012825171.2,XM_012969717.3,GeneID:100380177,XB-GENE-5749440
A0A6I8SMD5,XP_002936618.2,XM_002936572.5,GeneID:100145017,XB-GENE-5831431
A0A6I8SMG3,XP_002934555.2,XM_002934509.5,GeneID:100492220,XB-GENE-985276
A0A6I8SMG4,XP_031749805.1,XM_031893945.1,GeneID:100124746,XB-GENE-5868172
A0A6I8SMH2,XP_031750003.1,XM_031894143.1,GeneID:595068,XB-GENE-5893304
A0A6I8SMH7,XP_004915638.1,XM_004915581.4,GeneID:100488959,XB-GENE-29079507
A0A6I8SMI0,XP_012813483.2,XM_012958029.3,GeneID:101733537,XB-GENE-1012418
A0A6I8SMJ0,XP_012825834.1,XM_012970380.3,GeneID:548399,XB-GENE-981732
A0A6I8SMK2,XP_017952090.1,XM_018096601.2,GeneID:100487068,XB-GENE-6050017
A0A6I8SMK8,XP_031753403.1,XM_031897543.1,GeneID:100125022,XB-GENE-963640
A0A6I8SML0,XP_031761619.1,XM_031905759.1,GeneID:100380033,XB-GENE-968809
A0A6I8SML1,XP_002936983.2,XM_002936937.5,GeneID:100489161,XB-GENE-1004770
A0A6I8SMM3,XP_031759700.1,XM_031903840.1,GeneID:100496680,XB-GENE-984634
A0A6I8SMM9,XP_012819128.1,XM_012963674.2,GeneID:100379759,XB-GENE-988171
A0A6I8SMN0,XP_012818451.1,XM_012962997.3,GeneID:549152,XB-GENE-975960
A0A6I8SMN2,XP_002933184.1,XM_002933138.4,GeneID:100494642,XB-GENE-856530
A0A6I8SMP4,XP_012818916.2,XM_012963462.3,GeneID:100494274,XB-GENE-1002636
A0A6I8SMQ2,XP_002933400.2,XM_002933354.5,GeneID:100487831,XB-GENE-5870324
A0A6I8SMR3,XP_031755008.1,XM_031899148.1,GeneID:100379824,XB-GENE-5755296
A0A6I8SMS0,XP_002931586.3,XM_002931540.5,GeneID:100491530,XB-GENE-980112
A0A6I8SMS7,XP_012823486.1,XM_012968032.3,GeneID:100145621,XB-GENE-993696
A0A6I8SMT8,XP_002933050.2,XM_002933004.5,GeneID:100494432,XB-GENE-488920
A0A6I8SMU8,XP_031751970.1,XM_031896110.1,GeneID:779786,XB-GENE-949483
A0A6I8SMV1,XP_017950883.1,XM_018095394.2,GeneID:549452,XB-GENE-997225
A0A6I8SMW8,XP_031754041.1,XM_031898181.1,GeneID:116409525,XB-GENE-29095107
A0A6I8SMY0,XP_002934639.3,XM_002934593.5,GeneID:779447,XB-GENE-5953770
A0A6I8SMY7,XP_031760441.1,XM_031904581.1,GeneID:116411742,XB-GENE-29097651
A0A6I8SMY9,XP_002939425.2,XM_002939379.5,GeneID:100497184,XB-GENE-5903984
A0A6I8SMZ7,XP_012821726.1,XM_012966272.3,GeneID:394651,XB-GENE-974453
A0A6I8SN13,XP_002942479.3,XM_002942433.3,GeneID:100487022,XB-GENE-5824246
A0A6I8SN18,XP_031755254.1,XM_031899394.1,GeneID:100489278,XB-GENE-29072393
A0A6I8SN29,XP_031758507.1,XM_031902647.1,GeneID:116410948,XB-GENE-29096639
A0A6I8SN32,XP_002940239.3,XM_002940193.5,GeneID:100492188,XB-GENE-994138
A0A6I8SN36,XP_002934074.1,XM_002934028.5,GeneID:100492323,XB-GENE-984439
A0A6I8SN41,XP_012823170.2,XM_012967716.3,GeneID:100485494,XB-GENE-877272
A0A6I8SN43,XP_012817692.1,XM_012962238.3,GeneID:100125118,XB-GENE-5762327
A0A6I8SN56,XP_017951599.2,XM_018096110.2,GeneID:100124966,XB-GENE-989642
A0A6I8SN60,XP_002933851.2,XM_002933805.4,GeneID:100492111,XB-GENE-983897
A0A6I8SN69,XP_002938604.1,XM_002938558.5,GeneID:100493342,XB-GENE-5909751
A0A6I8SN86,XP_002933943.1,XM_002933897.5,GeneID:100496214,XB-GENE-22068729
A0A6I8SNA7,XP_002942920.2,XM_002942874.5,GeneID:100488434,XB-GENE-6449820
A0A6I8SNB2,XP_031754955.1,XM_031899095.1,GeneID:100490799,XB-GENE-998615
A0A6I8SNB4,XP_002933960.2,XM_002933914.5,GeneID:100485377,XB-GENE-6500288
A0A6I8SNC7,XP_012825177.1,XM_012969723.3,GeneID:100487253,XB-GENE-29076987
A0A6I8SND7,XP_012810821.1,XM_012955367.3,GeneID:100144698,XB-GENE-481465
A0A6I8SNE2,XP_002932537.2,XM_002932491.5,GeneID:100486367,XB-GENE-981856
A0A6I8SNF4,XP_002939411.2,XM_002939365.5,GeneID:100492020,XB-GENE-957445
A0A6I8SNG4,XP_002935301.2,XM_002935255.5,GeneID:100494110,XB-GENE-966369
A0A6I8SNG6,XP_004910825.1,XM_004910768.4,GeneID:100486841,XB-GENE-987046
A0A6I8SNH6,XP_004915201.1,XM_004915144.4,GeneID:100329117,XB-GENE-493771
A0A6I8SNH7,XP_012824618.1,XM_012969164.3,GeneID:100495318,XB-GENE-977931
A0A6I8SNI2,XP_012812207.1,XM_012956753.2,GeneID:448509,XB-GENE-1018102
A0A6I8SNI4,XP_012826395.2,XM_012970941.3,GeneID:100379746,XB-GENE-984253
A0A6I8SNL7,XP_031758180.1,XM_031902320.1,GeneID:733477,XB-GENE-1008531
A0A6I8SNM0,XP_031761885.1,XM_031906025.1,GeneID:100491790,XB-GENE-1013500
A0A6I8SNN7,XP_004919969.2,XM_004919912.3,GeneID:100485143,XB-GENE-6047387
A0A6I8SNQ0,XP_004916165.1,XM_004916108.4,GeneID:100497477,XB-GENE-6036140
A0A6I8SNQ8,XP_031760629.1,XM_031904769.1,GeneID:100125175,XB-GENE-5894315
A0A6I8SNR7,XP_012814982.1,XM_012959528.3,GeneID:100493265,XB-GENE-6258750
A0A6I8SNS6,XP_012824672.2,XM_012969218.3,GeneID:100170426,XB-GENE-1013979
A0A6I8SNT1,XP_031755245.1,XM_031899385.1,GeneID:100488846,XB-GENE-5789473
A0A6I8SNT2,XP_017953063.2,XM_018097574.2,GeneID:100490430,XB-GENE-6047950
A0A6I8SNT8,XP_002931758.1,XM_002931712.5,GeneID:100379848,XB-GENE-5865161
A0A6I8SNU5,XP_002932853.1,XM_002932807.5,GeneID:100486935,XB-GENE-982324
A0A6I8SNV2,XP_031746505.1,XM_031890645.1,GeneID:100497943,XB-GENE-962711
A0A6I8SNV9,XP_004912542.1,XM_004912485.4,GeneID:100488055,XB-GENE-991126
A0A6I8SNW2,XP_002936877.2,XM_002936831.5,GeneID:100486630,XB-GENE-988941
A0A6I8SNW5,XP_031758007.1,XM_031902147.1,GeneID:100497841,XB-GENE-961210
A0A6I8SNW8,XP_031746194.1,XM_031890334.1,GeneID:448130,XB-GENE-986845
A0A6I8SNY6,XP_012813840.2,XM_012958386.2,GeneID:100101742,XB-GENE-482683
A0A6I8SNY7,XP_017951356.1,XM_018095867.2,GeneID:100498011,XB-GENE-994785
A0A6I8SNZ1,XP_031753791.1,XM_031897931.1,GeneID:549070,XB-GENE-1017313
A0A6I8SNZ3,XP_031760660.1,XM_031904800.1,GeneID:100144664,XB-GENE-941923
A0A6I8SNZ5,XP_002940127.3,XM_002940081.5,GeneID:100485452,XB-GENE-6257844
A0A6I8SP12,XP_017950192.1,XM_018094703.2,GeneID:780197,XB-GENE-876756
A0A6I8SP15,XP_002938634.2,XM_002938588.5,GeneID:100491845,XB-GENE-1006692
A0A6I8SP18,XP_031762257.1,XM_031906397.1,GeneID:100486238,XB-GENE-993308
A0A6I8SP25,XP_002935681.1,XM_002935635.5,GeneID:100498156,XB-GENE-987118
A0A6I8SP37,XP_012813922.1,XM_012958468.3,GeneID:100125154,XB-GENE-1013544
A0A6I8SP63,XP_031749440.1,XM_031893580.1,GeneID:100379715,XB-GENE-965137
A0A6I8SP69,XP_002940763.1,XM_002940717.5,GeneID:100490038,XB-GENE-484953
A0A6I8SP90,XP_004912911.2,XM_004912854.4,GeneID:100490892,XB-GENE-5831784
A0A6I8SPA1,XP_031757626.1,XM_031901766.1,GeneID:733937,XB-GENE-1016132
A0A6I8SPB4,XP_017949337.1,XM_018093848.2,GeneID:493212,XB-GENE-978042
A0A6I8SPC0,XP_002935352.5,XM_002935306.5,GeneID:100486271,XB-GENE-952811
A0A6I8SPC2,XP_031749759.1,XM_031893899.1,GeneID:116407844,XB-GENE-29093451
A0A6I8SPC5,XP_002938297.1,XM_002938251.5,GeneID:100486901,XB-GENE-29078535
A0A6I8SPC8,XP_017949122.1,XM_018093633.2,GeneID:100488548,XB-GENE-6039325
A0A6I8SPC9,XP_002934581.3,XM_002934535.5,GeneID:100498514,XB-GENE-985312
A0A6I8SPD1,NP_001017213.2,NM_001017213.3,GeneID:549967,XB-GENE-986212
A0A6I8SPF3,XP_012812749.1,XM_012957295.3,GeneID:100196923,XB-GENE-479255
A0A6I8SPF4,XP_031758394.1,XM_031902534.1,GeneID:100492166,XB-GENE-984129
A0A6I8SPG4,XP_031749978.1,XM_031894118.1,GeneID:549650,XB-GENE-5829047
A0A6I8SPI8,XP_031756562.1,XM_031900702.1,GeneID:101733706,XB-GENE-986626
A0A6I8SPK4,XP_002938471.4,XM_002938425.5,GeneID:100379767,XB-GENE-991559
A0A6I8SPK8,XP_031752890.1,XM_031897030.1,GeneID:100497730,XB-GENE-6042031
A0A6I8SPK9,XP_017946049.2,XM_018090560.2,GeneID:100490147,XB-GENE-920190
A0A6I8SPL0,XP_012825364.1,XM_012969910.2,GeneID:100036596,XB-GENE-1011124
A0A6I8SPL3,XP_017952378.1,XM_018096889.2,GeneID:100495355,XB-GENE-960331
A0A6I8SPL7,XP_002932493.2,XM_002932447.5,GeneID:100490407,XB-GENE-6035383
A0A6I8SPM7,XP_012817914.2,XM_012962460.3,GeneID:100380027,XB-GENE-965479
A0A6I8SPN0,XP_012808308.2,XM_012952854.3,GeneID:779596,XB-GENE-1013612
A0A6I8SPN6,XP_012808175.2,XM_012952721.3,GeneID:100135007,XB-GENE-959739
A0A6I8SPN7,XP_002942003.2,XM_002941957.4,GeneID:100493569,XB-GENE-5903317
A0A6I8SPP8,XP_002939312.2,XM_002939266.5,GeneID:100486145,XB-GENE-1007226
A0A6I8SPQ4,XP_031758473.1,XM_031902613.1,GeneID:100488668,XB-GENE-29079327
A0A6I8SPQ9,XP_002936802.3,XM_002936756.5,GeneID:100489914,XB-GENE-486052
A0A6I8SPR0,XP_002934402.2,XM_002934356.4,GeneID:100498310,XB-GENE-6050456
A0A6I8SPR1,XP_012825681.2,XM_012970227.3,GeneID:100494499,XB-GENE-988267
A0A6I8SPR6,XP_031751426.1,XM_031895566.1,GeneID:100145434,XB-GENE-478374
A0A6I8SPS1,XP_031753713.1,XM_031897853.1,GeneID:493342,XB-GENE-957618
A0A6I8SPS6,XP_017952982.2,XM_018097493.2,GeneID:100494429,XB-GENE-483409
A0A6I8SPS7,XP_002932176.2,XM_002932130.5,GeneID:100494845,XB-GENE-922899
A0A6I8SPT6,XP_002935666.2,XM_002935620.4,GeneID:100495749,XB-GENE-6050928
A0A6I8SPU7,XP_002940002.3,XM_002939956.5,GeneID:100491739,XB-GENE-993827
A0A6I8SPV3,XP_012823254.2,XM_012967800.3,GeneID:100126060,XB-GENE-964724
A0A6I8SPW0,XP_031747440.1,XM_031891580.1,GeneID:100486951,XB-GENE-29078563
A0A6I8SPW3,XP_002934977.4,XM_002934931.4,GeneID:100491547,XB-GENE-29080743
A0A6I8SPW5,XP_004917999.1,XM_004917942.4,GeneID:101730868,XB-GENE-29084887
A0A6I8SPX5,XP_004913056.1,XM_004912999.4,GeneID:100487080,XB-GENE-960160
A0A6I8SPY4,XP_031749709.1,XM_031893849.1,GeneID:100124996,XB-GENE-5752023
A0A6I8SPZ1,XP_002931858.1,XM_002931812.5,GeneID:100380046,XB-GENE-980568
A0A6I8SQ05,XP_031756059.1,XM_031900199.1,GeneID:779957,XB-GENE-5945055
A0A6I8SQ16,XP_002934088.2,XM_002934042.5,GeneID:100496461,XB-GENE-1001232
A0A6I8SQ30,XP_031752984.1,XM_031897124.1,GeneID:100125184,XB-GENE-5820566
A0A6I8SQ47,XP_002935206.1,XM_002935160.5,GeneID:100492064,XB-GENE-962814
A0A6I8SQ53,XP_004913462.1,XM_004913405.4,GeneID:100486798,XB-GENE-1020968
A0A6I8SQ60,XP_031756916.1,XM_031901056.1,GeneID:100486838,XB-GENE-6040052
A0A6I8SQ65,XP_004917088.1,XM_004917031.4,GeneID:100487745,XB-GENE-494440
A0A6I8SQ69,XP_031749500.1,XM_031893640.1,GeneID:100498591,XB-GENE-29084335
A0A6I8SQ85,XP_004911619.2,XM_004911562.4,GeneID:100498427,XB-GENE-956746
A0A6I8SQ87,XP_002935509.1,XM_002935463.5,GeneID:100489200,XB-GENE-5815286
A0A6I8SQ91,XP_012813157.2,XM_012957703.3,GeneID:100487407,XB-GENE-1012659
A0A6I8SQA4,XP_004918665.2,XM_004918608.4,GeneID:100494331,XB-GENE-493979
A0A6I8SQB2,XP_017946319.2,XM_018090830.2,GeneID:100380018,XB-GENE-959575
A0A6I8SQB3,XP_012823244.1,XM_012967790.3,GeneID:100036644,XB-GENE-1013749
A0A6I8SQB8,XP_004918106.2,XM_004918049.4,GeneID:100488601,XB-GENE-981756
A0A6I8SQD1,XP_004917024.1,XM_004916967.4,GeneID:101730999,XB-GENE-29085003
A0A6I8SQD9,XP_012814759.1,XM_012959305.3,GeneID:780379,XB-GENE-868398
A0A6I8SQE2,XP_031748719.1,XM_031892859.1,GeneID:100486450,XB-GENE-920936
A0A6I8SQE4,XP_002931718.1,XM_002931672.5,GeneID:100494478,XB-GENE-29082215
A0A6I8SQE6,XP_012808524.1,XM_012953070.3,GeneID:613115,XB-GENE-487078
A0A6I8SQF8,XP_031757855.1,XM_031901995.1,GeneID:100495209,XB-GENE-1012295
A0A6I8SQF9,XP_002939087.3,XM_002939041.5,GeneID:100492559,XB-GENE-992480
A0A6I8SQH0,XP_031754747.1,XM_031898887.1,GeneID:100489336,XB-GENE-6041782
A0A6I8SQI0,XP_031755834.1,XM_031899974.1,GeneID:407880,XB-GENE-1001570
A0A6I8SQI4,XP_004914714.1,XM_004914657.4,GeneID:100488413,XB-GENE-1012360
A0A6I8SQJ0,XP_031759787.1,XM_031903927.1,GeneID:100486837,XB-GENE-1001845
A0A6I8SQJ3,XP_017946802.1,XM_018091313.2,GeneID:733509,XB-GENE-5846660
A0A6I8SQJ5,XP_031750500.1,XM_031894640.1,GeneID:100145316,XB-GENE-5935939
A0A6I8SQK1,XP_004914375.2,XM_004914318.4,GeneID:101732987,XB-GENE-486660
A0A6I8SQK3,XP_012812901.1,XM_012957447.3,GeneID:100487551,XB-GENE-960575
A0A6I8SQK4,XP_012816480.1,XM_012961026.3,GeneID:496702,XB-GENE-5850900
A0A6I8SQK8,XP_004912626.1,XM_004912569.4,GeneID:101734837,XB-GENE-981969
A0A6I8SQM9,XP_002939588.1,XM_002939542.5,GeneID:100485942,XB-GENE-1007579
A0A6I8SQP4,XP_004913947.2,XM_004913890.3,GeneID:100489045,XB-GENE-1011573
A0A6I8SQP8,XP_031757648.1,XM_031901788.1,GeneID:779804,XB-GENE-980460
A0A6I8SQR6,XP_031759052.1,XM_031903192.1,GeneID:100127818,XB-GENE-940740
A0A6I8SQR7,XP_004911107.2,XM_004911050.4,GeneID:100497258,XB-GENE-965189
A0A6I8SQT7,XP_002937899.2,XM_002937853.5,GeneID:100488008,XB-GENE-990752
A0A6I8SQT9,XP_004910917.1,XM_004910860.4,GeneID:100491942,XB-GENE-1001143
A0A6I8SQU0,XP_012824629.1,XM_012969175.3,GeneID:100038277,XB-GENE-5954567
A0A6I8SQW1,XP_017950521.2,XM_018095032.2,GeneID:100493118,XB-GENE-5880666
A0A6I8SQW2,XP_012811743.1,XM_012956289.3,GeneID:100124899,XB-GENE-988896
A0A6I8SQW6,XP_002936595.2,XM_002936549.5,GeneID:100498633,XB-GENE-5841108
A0A6I8SQX3,XP_012812403.2,XM_012956949.3,GeneID:100170446,XB-GENE-991215
A0A6I8SQX9,XP_004910907.1,XM_004910850.4,GeneID:100493108,XB-GENE-984316
A0A6I8SQY8,XP_002935833.2,XM_002935787.5,GeneID:100493332,XB-GENE-953279
A0A6I8SQZ4,XP_012814363.1,XM_012958909.3,GeneID:496517,XB-GENE-999865
A0A6I8SQZ9,XP_012821120.1,XM_012965666.3,GeneID:733833,XB-GENE-490065
A0A6I8SR26,XP_031760322.1,XM_031904462.1,GeneID:101731070,XB-GENE-29085071
A0A6I8SR50,XP_012823459.1,XM_012968005.2,GeneID:100145245,XB-GENE-989691
A0A6I8SR71,XP_031753371.1,XM_031897511.1,GeneID:100101686,XB-GENE-493689
A0A6I8SR74,XP_012813820.1,XM_012958366.3,GeneID:100038149,XB-GENE-855803
A0A6I8SR90,XP_012819702.1,XM_012964248.3,GeneID:100135152,XB-GENE-5992917
A0A6I8SR98,XP_031754356.1,XM_031898496.1,GeneID:100494412,XB-GENE-1009947
A0A6I8SRA0,XP_002932713.1,XM_002932667.5,GeneID:100488147,XB-GENE-22069142
A0A6I8SRA4,XP_002933684.2,XM_002933638.5,GeneID:100492943,XB-GENE-29081419
A0A6I8SRA6,XP_004910840.1,XM_004910783.4,GeneID:101731792,XB-GENE-987039
A0A6I8SRA9,XP_031746195.1,XM_031890335.1,GeneID:448130,XB-GENE-986845
A0A6I8SRB7,XP_017950421.2,XM_018094932.2,GeneID:100494102,XB-GENE-876513
A0A6I8SRC1,XP_012823022.1,XM_012967568.3,GeneID:100488052,XB-GENE-5842877
A0A6I8SRD4,XP_012825047.2,XM_012969593.3,GeneID:101732524,XB-GENE-22068665
A0A6I8SRD6,XP_012815107.1,XM_012959653.3,GeneID:448382,XB-GENE-489248
A0A6I8SRE1,XP_012821652.1,XM_012966198.3,GeneID:100216064,XB-GENE-962796
A0A6I8SRE2,XP_017945481.2,XM_018089992.2,GeneID:100488743,XB-GENE-996662
A0A6I8SRE5,XP_031757378.1,XM_031901518.1,GeneID:100145357,XB-GENE-957487
A0A6I8SRG4,XP_002937710.3,XM_002937664.5,GeneID:100158612,XB-GENE-5886610
A0A6I8SRG5,XP_002937369.2,XM_002937323.5,GeneID:100490373,XB-GENE-1012835
A0A6I8SRG8,XP_004917185.1,XM_004917128.4,GeneID:100484992,XB-GENE-487387
A0A6I8SRJ3,XP_004916207.1,XM_004916150.4,GeneID:101733259,XB-GENE-922439
A0A6I8SRL1,XP_017946013.2,XM_018090524.2,GeneID:100489237,XB-GENE-953825
A0A6I8SRL5,XP_002941105.4,XM_002941059.5,GeneID:100496911,XB-GENE-6038543
A0A6I8SRM3,XP_031751599.1,XM_031895739.1,GeneID:100170607,XB-GENE-5969006
A0A6I8SRM7,XP_012821802.1,XM_012966348.3,GeneID:448095,XB-GENE-944304
A0A6I8SRP0,XP_002940575.2,XM_002940529.4,GeneID:100492190,XB-GENE-29081063
A0A6I8SRQ4,XP_031753906.1,XM_031898046.1,GeneID:779824,XB-GENE-5929299
A0A6I8SRQ7,XP_002932725.3,XM_002932679.5,GeneID:100490129,XB-GENE-1010803
A0A6I8SRQ8,XP_012811080.2,XM_012955626.3,GeneID:100485159,XB-GENE-983423
A0A6I8SRS4,XP_012824050.2,XM_012968596.2,GeneID:779669,XB-GENE-945669
A0A6I8SRT4,XP_004910860.1,XM_004910803.4,GeneID:100487835,XB-GENE-5954319
A0A6I8SRT6,XP_031753117.1,XM_031897257.1,GeneID:100485539,XB-GENE-991808
A0A6I8SRV2,XP_031751637.1,XM_031895777.1,GeneID:100379879,XB-GENE-5961508
A0A6I8SRV5,XP_031750718.1,XM_031894858.1,GeneID:100492573,XB-GENE-5824175
A0A6I8SRV7,XP_004913613.1,XM_004913556.4,GeneID:101732918,XB-GENE-6044415
A0A6I8SRX2,XP_004913718.1,XM_004913661.4,GeneID:100490434,XB-GENE-22061118
A0A6I8SRX4,XP_031752524.1,XM_031896664.1,GeneID:100497024,XB-GENE-29083467
A0A6I8SRY4,XP_004912981.2,XM_004912924.4,GeneID:100380133,XB-GENE-5899961
