# GENE_SYMBOL	NCBI_GENE_ID	XB_GENE_ID	GENE_NAME
42sp43	GeneID:548848	XB-GENE-5898342	P43 5S RNA-binding protein
LOC116409615	GeneID:116409615	NA	olfactory receptor 11L1-like
LOC116409616	GeneID:116409616	NA	olfactory receptor 10A5-like
LOC116409617	GeneID:116409617	NA	olfactory receptor 11L1-like
LOC116409619	GeneID:116409619	NA	olfactory receptor 11L1-like
LOC116409620	GeneID:116409620	NA	olfactory receptor 1E5-like
LOC116409621	GeneID:116409621	NA	olfactory receptor 11L1-like
LOC116409622	GeneID:116409622	NA	olfactory receptor 1468-like
LOC116409623	GeneID:116409623	NA	olfactory receptor 1-like
LOC116409624	GeneID:116409624	NA	olfactory receptor 11L1-like
LOC116409625	GeneID:116409625	NA	olfactory receptor 1496-like
LOC116409626	GeneID:116409626	NA	olfactory receptor 11L1-like
LOC116409627	GeneID:116409627	NA	olfactory receptor 6P1-like
LOC116409628	GeneID:116409628	NA	olfactory receptor 10A7-like
LOC116409629	GeneID:116409629	NA	olfactory receptor 10A7-like
LOC116409630	GeneID:116409630	NA	olfactory receptor 6P1-like
LOC116409631	GeneID:116409631	NA	olfactory receptor 10A7-like
LOC116409632	GeneID:116409632	NA	olfactory receptor 6P1-like
LOC116409633	GeneID:116409633	NA	olfactory receptor 6P1-like
LOC116409635	GeneID:116409635	NA	olfactory receptor 10A2-like
LOC116409636	GeneID:116409636	NA	olfactory receptor 6P1-like
LOC116409637	GeneID:116409637	NA	olfactory receptor 10A7-like
LOC116409638	GeneID:116409638	NA	olfactory receptor 6P1-like
LOC116409639	GeneID:116409639	NA	olfactory receptor 6P1-like
LOC116409640	GeneID:116409640	NA	olfactory receptor 11A1-like
LOC116409641	GeneID:116409641	NA	olfactory receptor 11A1-like
LOC116409642	GeneID:116409642	NA	olfactory receptor 1361-like
LOC116409643	GeneID:116409643	NA	olfactory receptor 11A1-like
LOC116409644	GeneID:116409644	NA	olfactory receptor 10A7-like
LOC116409645	GeneID:116409645	NA	olfactory receptor 6P1-like
LOC116409646	GeneID:116409646	NA	olfactory receptor 6P1-like
LOC116409647	GeneID:116409647	NA	olfactory receptor 10A7-like
LOC116409648	GeneID:116409648	NA	olfactory receptor 10A7-like
LOC116409649	GeneID:116409649	NA	olfactory receptor 6P1-like
LOC116409650	GeneID:116409650	NA	olfactory receptor 10A7-like
LOC116409651	GeneID:116409651	NA	olfactory receptor 10A7-like
LOC116409652	GeneID:116409652	NA	olfactory receptor 11A1-like
LOC116409653	GeneID:116409653	NA	olfactory receptor 11A1-like
LOC116409654	GeneID:116409654	NA	olfactory receptor 6N1-like
LOC116409655	GeneID:116409655	NA	olfactory receptor 11L1-like
LOC116409656	GeneID:116409656	NA	olfactory receptor 1468-like
LOC116409657	GeneID:116409657	NA	asialoglycoprotein receptor 2-like
LOC116409658	GeneID:116409658	NA	olfactory receptor 11L1-like
LOC116409659	GeneID:116409659	NA	uncharacterized LOC116409659
LOC116409665	GeneID:116409665	NA	uncharacterized LOC116409665
LOC116409669	GeneID:116409669	NA	uncharacterized LOC116409669
LOC116409670	GeneID:116409670	NA	fibulin-1-like
LOC116409673	GeneID:116409673	NA	extended synaptotagmin-1-like
LOC116409676	GeneID:116409676	NA	translocator protein-like
LOC116409678	GeneID:116409678	NA	uncharacterized LOC116409678
LOC116409680	GeneID:116409680	NA	uncharacterized LOC116409680
LOC116409681	GeneID:116409681	NA	aldo-keto reductase family 1 member C15-like
LOC116409682	GeneID:116409682	NA	uncharacterized protein FLJ40521-like
LOC116409683	GeneID:116409683	NA	serine/threonine-protein kinase 3-like
LOC116409696	GeneID:116409696	NA	ganglioside GM2 activator-like
LOC116409698	GeneID:116409698	NA	myosin-binding protein H-like
LOC116409702	GeneID:116409702	NA	RING-H2 finger protein ATL72-like
LOC116409704	GeneID:116409704	NA	traf2 and NCK-interacting protein kinase-like
LOC116409705	GeneID:116409705	NA	uncharacterized LOC116409705
LOC116409706	GeneID:116409706	NA	hyaluronan-mediated motility receptor-like
LOC116409708	GeneID:116409708	NA	teneurin-2-like
LOC116409713	GeneID:116409713	NA	exocyst complex component 1-like
LOC116409715	GeneID:116409715	NA	PDZ domain-containing protein 9-like
LOC116409720	GeneID:116409720	NA	uncharacterized LOC116409720
LOC116409721	GeneID:116409721	NA	uncharacterized LOC116409721
LOC116409722	GeneID:116409722	NA	uncharacterized LOC116409722
LOC116409724	GeneID:116409724	NA	uncharacterized LOC116409724
LOC116409725	GeneID:116409725	NA	uncharacterized LOC116409725
LOC116409726	GeneID:116409726	NA	WAG22 antigen-like
LOC116409731	GeneID:116409731	NA	uncharacterized LOC116409731
LOC116409745	GeneID:116409745	NA	olfactory receptor 11L1-like
LOC116409754	GeneID:116409754	NA	uncharacterized LOC116409754
LOC116409757	GeneID:116409757	NA	lamina-associated polypeptide 2-like
LOC116409761	GeneID:116409761	NA	immunoglobulin superfamily containing leucine-rich repeat protein 2-like
LOC116409783	GeneID:116409783	NA	protein spinster homolog 1-like
LOC116409784	GeneID:116409784	NA	uncharacterized LOC116409784
LOC116409788	GeneID:116409788	NA	tubulin monoglycylase TTLL3-like
LOC116409793	GeneID:116409793	NA	uncharacterized LOC116409793
LOC116409794	GeneID:116409794	NA	uncharacterized LOC116409794
LOC116409796	GeneID:116409796	NA	CD209 antigen-like protein C
LOC116409797	GeneID:116409797	NA	CD209 antigen-like protein C
LOC116409798	GeneID:116409798	NA	hepatic lectin-like
LOC116409805	GeneID:116409805	NA	uncharacterized LOC116409805
LOC116409807	GeneID:116409807	NA	uncharacterized LOC116409807
LOC116409808	GeneID:116409808	NA	uncharacterized LOC116409808
LOC116409809	GeneID:116409809	NA	histone H1B-like
LOC116409813	GeneID:116409813	NA	histone H2A type 1-like
LOC116409814	GeneID:116409814	NA	histone H2B 1.1-like
LOC116409817	GeneID:116409817	NA	extended synaptotagmin-1-like
LOC116409818	GeneID:116409818	XB-GENE-29072332	beta-1,3 galactosyltransferase 2 like gene 11
LOC116409825	GeneID:116409825	NA	uncharacterized LOC116409825
LOC116409826	GeneID:116409826	NA	uncharacterized LOC116409826
LOC116409827	GeneID:116409827	NA	uncharacterized LOC116409827
LOC116409830	GeneID:116409830	NA	mucin-3A-like
LOC116409832	GeneID:116409832	NA	mucin-3B-like
LOC116409833	GeneID:116409833	NA	mucin-3B-like
LOC116409834	GeneID:116409834	NA	histidine N-acetyltransferase-like
LOC116409835	GeneID:116409835	NA	histidine N-acetyltransferase-like
LOC116409836	GeneID:116409836	NA	histidine N-acetyltransferase-like
LOC116409837	GeneID:116409837	NA	uncharacterized LOC116409837
LOC116409839	GeneID:116409839	NA	uncharacterized LOC116409839
LOC116409841	GeneID:116409841	NA	uncharacterized LOC116409841
LOC116409842	GeneID:116409842	NA	uncharacterized LOC116409842
LOC116409843	GeneID:116409843	NA	uncharacterized LOC116409843
LOC116409844	GeneID:116409844	NA	uncharacterized LOC116409844
LOC116409845	GeneID:116409845	NA	NXPE family member 3-like
LOC116409846	GeneID:116409846	NA	uncharacterized LOC116409846
LOC116409847	GeneID:116409847	NA	ephexin-1-like
LOC116409848	GeneID:116409848	NA	uncharacterized LOC116409848
LOC116409849	GeneID:116409849	NA	histone deacetylase complex subunit SAP25-like
LOC116409851	GeneID:116409851	NA	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3-like
LOC116409852	GeneID:116409852	NA	phospholipid scramblase 1-like
LOC116409853	GeneID:116409853	NA	cornifelin homolog
LOC116409854	GeneID:116409854	NA	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase-like
LOC116409856	GeneID:116409856	NA	C-type natriuretic peptide-like
LOC116409859	GeneID:116409859	NA	diamine acetyltransferase 2-like
LOC116409860	GeneID:116409860	NA	diamine acetyltransferase 2-like
LOC116410218	GeneID:116410218	NA	putative ferric-chelate reductase 1
LOC116410219	GeneID:116410219	NA	uncharacterized LOC116410219
LOC116410220	GeneID:116410220	NA	pleckstrin homology like domain family A member 2
LOC116410223	GeneID:116410223	XB-GENE-25875130	potassium inwardly rectifying channel subfamily J member 21 (provisional)
LOC116410224	GeneID:116410224	NA	uncharacterized LOC116410224
LOC116410225	GeneID:116410225	NA	hemicentin-1-like
LOC116410226	GeneID:116410226	NA	uncharacterized LOC116410226
LOC116410228	GeneID:116410228	NA	uncharacterized LOC116410228
LOC116410230	GeneID:116410230	NA	uncharacterized LOC116410230
LOC116410231	GeneID:116410231	NA	F-box/WD repeat-containing protein 7-like
LOC116410233	GeneID:116410233	NA	uncharacterized LOC116410233
LOC116410241	GeneID:116410241	NA	uncharacterized protein C11orf96 homolog
LOC116410243	GeneID:116410243	NA	alpha-parvin-like
LOC116410254	GeneID:116410254	NA	embryonic protein UVS.2-like
LOC116410255	GeneID:116410255	NA	synaptotagmin-13-like
LOC116410271	GeneID:116410271	NA	uncharacterized LOC116410271
LOC116410277	GeneID:116410277	NA	uncharacterized LOC116410277
LOC116410282	GeneID:116410282	NA	uncharacterized LOC116410282
LOC116410287	GeneID:116410287	NA	uncharacterized LOC116410287
LOC116410289	GeneID:116410289	NA	uncharacterized LOC116410289
LOC116410308	GeneID:116410308	NA	serine/threonine-protein kinase 3-like
LOC116410309	GeneID:116410309	NA	acyl-CoA (8-3)-desaturase-like
LOC116410311	GeneID:116410311	NA	dispanin subfamily A member 2b-like
LOC116410312	GeneID:116410312	NA	sn1-specific diacylglycerol lipase alpha-like
LOC116410313	GeneID:116410313	NA	sn1-specific diacylglycerol lipase alpha-like
LOC116410319	GeneID:116410319	NA	dispanin subfamily A member 2b-like
LOC116410321	GeneID:116410321	NA	serine/threonine-protein kinase mig-15-like
LOC116410323	GeneID:116410323	NA	vomeronasal type-2 receptor 26-like
LOC116410324	GeneID:116410324	NA	serine/threonine-protein kinase mig-15-like
LOC116410326	GeneID:116410326	NA	traf2 and NCK-interacting protein kinase-like
LOC116410327	GeneID:116410327	NA	traf2 and NCK-interacting protein kinase-like
LOC116410328	GeneID:116410328	NA	serine/threonine-protein kinase mig-15-like
LOC116410334	GeneID:116410334	NA	mucin-5AC-like
LOC116410335	GeneID:116410335	NA	intestinal mucin-like protein
LOC116410339	GeneID:116410339	NA	uncharacterized LOC116410339
LOC116410341	GeneID:116410341	NA	uncharacterized LOC116410341
LOC116410345	GeneID:116410345	NA	solute carrier family 22 member 6-like
LOC116410357	GeneID:116410357	NA	basic salivary proline-rich protein 2-like
LOC116410363	GeneID:116410363	NA	uncharacterized LOC116410363
LOC116410364	GeneID:116410364	NA	transmembrane protein 272-like
LOC116410370	GeneID:116410370	NA	uncharacterized LOC116410370
LOC116410371	GeneID:116410371	NA	uncharacterized LOC116410371
LOC116410372	GeneID:116410372	NA	synaptotagmin-13-like
LOC116410375	GeneID:116410375	NA	protein kinase C delta type-like
LOC116410376	GeneID:116410376	NA	protein kinase C delta type-like
LOC116410377	GeneID:116410377	NA	protein kinase C delta type-like
LOC116410379	GeneID:116410379	NA	cleavage stimulation factor subunit 3-like
LOC116410380	GeneID:116410380	NA	P17/29C-like protein DDB_G0287399
LOC116410381	GeneID:116410381	NA	P17/29C-like protein DDB_G0287399
LOC116410384	GeneID:116410384	NA	cleavage stimulation factor subunit 3-like
LOC116410385	GeneID:116410385	NA	5-hydroxytryptamine receptor 3A-like
LOC116410386	GeneID:116410386	NA	cathepsin D-like
LOC116410387	GeneID:116410387	NA	traf2 and NCK-interacting protein kinase-like
LOC116410388	GeneID:116410388	NA	mucin-2-like
LOC116410389	GeneID:116410389	NA	mucin-5AC-like
LOC116410391	GeneID:116410391	NA	metallothionein-like
LOC116410394	GeneID:116410394	NA	mucin-19-like
LOC116410399	GeneID:116410399	NA	uncharacterized LOC116410399
LOC116410405	GeneID:116410405	NA	liver carboxylesterase 2-like
LOC116410406	GeneID:116410406	NA	uncharacterized LOC116410406
LOC116410408	GeneID:116410408	NA	E3 ubiquitin-protein ligase RNF182-like
LOC116410409	GeneID:116410409	NA	uncharacterized LOC116410409
LOC116410412	GeneID:116410412	NA	fibulin-7-like
LOC116410420	GeneID:116410420	NA	filaggrin-2-like
LOC116410422	GeneID:116410422	NA	serine-rich adhesin for platelets-like
LOC116410429	GeneID:116410429	NA	N-acetyllactosaminide alpha-1,3-galactosyltransferase-like
LOC116410437	GeneID:116410437	NA	putative ferric-chelate reductase 1
LOC116410440	GeneID:116410440	NA	cell wall integrity and stress response component 4-like
LOC116410442	GeneID:116410442	NA	uncharacterized LOC116410442
LOC116410443	GeneID:116410443	NA	uncharacterized LOC116410443
LOC116410447	GeneID:116410447	NA	calpastatin-like
LOC116410449	GeneID:116410449	NA	uncharacterized LOC116410449
LOC116410450	GeneID:116410450	NA	cytochrome P450 2D20-like
LOC116410452	GeneID:116410452	NA	uncharacterized LOC116410452
LOC116410455	GeneID:116410455	NA	uncharacterized LOC116410455
LOC116410460	GeneID:116410460	NA	uncharacterized LOC116410460
LOC116410462	GeneID:116410462	NA	uncharacterized LOC116410462
LOC116410463	GeneID:116410463	NA	P2X purinoceptor 7-like
LOC116410464	GeneID:116410464	NA	serine/threonine-protein kinase N2-like
LOC116410468	GeneID:116410468	NA	uncharacterized LOC116410468
LOC116410474	GeneID:116410474	NA	uncharacterized LOC116410474
LOC116410475	GeneID:116410475	NA	uncharacterized LOC116410475
LOC116410477	GeneID:116410477	NA	uncharacterized LOC116410477
LOC116410485	GeneID:116410485	NA	platelet glycoprotein IX-like
LOC116410486	GeneID:116410486	NA	platelet glycoprotein IX-like
LOC116410487	GeneID:116410487	NA	uncharacterized LOC116410487
LOC116410491	GeneID:116410491	NA	uncharacterized LOC116410491
LOC116410492	GeneID:116410492	NA	mucin-5B-like
LOC116410493	GeneID:116410493	NA	traf2 and NCK-interacting protein kinase-like
LOC116410498	GeneID:116410498	NA	uncharacterized LOC116410498
LOC116410499	GeneID:116410499	NA	fucose-1-phosphate guanylyltransferase
LOC116410502	GeneID:116410502	NA	uncharacterized LOC116410502
LOC116410503	GeneID:116410503	NA	latent-transforming growth factor beta-binding protein 4-like
LOC116410504	GeneID:116410504	NA	natural cytotoxicity triggering receptor 3-like
LOC116410505	GeneID:116410505	NA	natural cytotoxicity triggering receptor 3-like
LOC116410507	GeneID:116410507	NA	natural cytotoxicity triggering receptor 3-like
LOC116410508	GeneID:116410508	NA	uncharacterized LOC116410508
LOC116410509	GeneID:116410509	NA	natural cytotoxicity triggering receptor 3-like
LOC116410510	GeneID:116410510	NA	vomeronasal type-2 receptor 26-like
LOC116410511	GeneID:116410511	NA	uncharacterized LOC116410511
LOC116410512	GeneID:116410512	NA	uncharacterized protein F54H12.2-like
LOC116410514	GeneID:116410514	NA	protein monoglycylase TTLL8-like
LOC116410516	GeneID:116410516	NA	tubulin monoglycylase TTLL3-like
LOC116410518	GeneID:116410518	NA	uncharacterized LOC116410518
LOC116410519	GeneID:116410519	NA	collagen alpha-1(III) chain-like
LOC116410520	GeneID:116410520	NA	uncharacterized LOC116410520
LOC116410522	GeneID:116410522	NA	protein kinase C delta type-like
LOC116410523	GeneID:116410523	NA	protein kinase C delta type-like
LOC116410524	GeneID:116410524	NA	trypsin inhibitor ClTI-1-like
LOC116410528	GeneID:116410528	NA	chitinase 3-like
LOC116410529	GeneID:116410529	NA	cell wall protein DAN4-like
LOC116410531	GeneID:116410531	NA	cell wall protein DAN4-like
LOC116410532	GeneID:116410532	NA	cell wall protein DAN4-like
LOC116410534	GeneID:116410534	NA	P17/29C-like protein DDB_G0287399
LOC116410535	GeneID:116410535	NA	serine/threonine-protein kinase 3-like
LOC116410536	GeneID:116410536	NA	cell wall protein DAN4-like
LOC116410537	GeneID:116410537	NA	protein kinase C delta type-like
LOC116410538	GeneID:116410538	NA	peptidoglycan DL-endopeptidase CwlO-like
LOC116410543	GeneID:116410543	NA	cell wall protein DAN4-like
LOC116410544	GeneID:116410544	NA	peptidoglycan DL-endopeptidase CwlO-like
LOC116410549	GeneID:116410549	NA	protein kinase C-like 1
LOC116410552	GeneID:116410552	NA	achaete-scute family bHLH transcription factor 3
LOC116410562	GeneID:116410562	NA	KICSTOR complex protein ITFG2-like
LOC116410567	GeneID:116410567	NA	nucleolar MIF4G domain-containing protein 1-like
LOC116410792	GeneID:116410792	NA	uncharacterized LOC116410792
LOC116410794	GeneID:116410794	NA	uncharacterized LOC116410794
LOC116410796	GeneID:116410796	NA	uncharacterized LOC116410796
LOC116410798	GeneID:116410798	NA	protein spinster homolog 1-like
LOC116410804	GeneID:116410804	NA	fucolectin-like
LOC116410806	GeneID:116410806	NA	GATOR complex protein WDR24-like
LOC116410809	GeneID:116410809	NA	receptor-type tyrosine-protein phosphatase eta-like
LOC116410814	GeneID:116410814	NA	low density lipoprotein receptor adapter protein 1-like
LOC116410815	GeneID:116410815	NA	uncharacterized LOC116410815
LOC116410816	GeneID:116410816	NA	oocyte zinc finger protein XlCOF8.4-like
LOC116410824	GeneID:116410824	NA	zinc finger protein 264-like
LOC116410825	GeneID:116410825	NA	probable G-protein coupled receptor 139
LOC116410826	GeneID:116410826	NA	keratin-associated protein 10-4-like
LOC116410827	GeneID:116410827	NA	whey acidic protein-like
LOC116410828	GeneID:116410828	NA	whey acidic protein-like
LOC116410829	GeneID:116410829	NA	WAP four-disulfide core domain protein 12-like
LOC116410833	GeneID:116410833	NA	uncharacterized LOC116410833
LOC116410834	GeneID:116410834	NA	uncharacterized LOC116410834
LOC116410838	GeneID:116410838	NA	cell division protein ZipA-like
LOC116410840	GeneID:116410840	NA	acrosin-like
LOC116410852	GeneID:116410852	NA	ephrin type-B receptor 2
LOC116410858	GeneID:116410858	NA	alpha-1,4-N-acetylglucosaminyltransferase-like
LOC116410860	GeneID:116410860	NA	uncharacterized LOC116410860
LOC116410862	GeneID:116410862	NA	extensin-like
LOC116410866	GeneID:116410866	NA	neurotensin receptor type 1-like
LOC116410867	GeneID:116410867	NA	adhesive plaque matrix protein-like
LOC116410870	GeneID:116410870	NA	zinc finger CCHC domain-containing protein 3-like
LOC116410871	GeneID:116410871	NA	vegetative cell wall protein gp1-like
LOC116410872	GeneID:116410872	NA	putative protein TPRXL
LOC116410873	GeneID:116410873	NA	calpain-2 catalytic subunit-like
LOC116410874	GeneID:116410874	NA	uncharacterized LOC116410874
LOC116410875	GeneID:116410875	NA	glutamic acid-rich protein-like
LOC116410876	GeneID:116410876	NA	uncharacterized LOC116410876
LOC116410877	GeneID:116410877	NA	protein kinase C theta type-like
LOC116410878	GeneID:116410878	NA	serine/threonine-protein kinase mig-15-like
LOC116410880	GeneID:116410880	NA	uncharacterized LOC116410880
LOC116410882	GeneID:116410882	NA	uncharacterized LOC116410882
LOC116410887	GeneID:116410887	NA	leucine-rich repeat-containing protein 15-like
LOC116410892	GeneID:116410892	NA	uncharacterized LOC116410892
LOC116410893	GeneID:116410893	NA	complement C1q and tumor necrosis factor-related protein 9-like
LOC116410894	GeneID:116410894	NA	protein kinase C theta type-like
LOC116410896	GeneID:116410896	NA	uncharacterized LOC116410896
LOC116410898	GeneID:116410898	NA	uncharacterized LOC116410898
LOC116410899	GeneID:116410899	NA	mitogen-activated protein kinase kinase kinase kinase 4-like
LOC116410902	GeneID:116410902	NA	protein kinase C theta type-like
LOC116410907	GeneID:116410907	NA	protein FAM135A-like
LOC116410910	GeneID:116410910	NA	alpha-1,4-N-acetylglucosaminyltransferase-like
LOC116410913	GeneID:116410913	NA	protein kinase C delta type-like
LOC116410917	GeneID:116410917	NA	transmembrane protein 244
LOC116410918	GeneID:116410918	NA	uncharacterized LOC116410918
LOC116410921	GeneID:116410921	NA	uncharacterized LOC116410921
LOC116410923	GeneID:116410923	NA	uncharacterized LOC116410923
LOC116410926	GeneID:116410926	NA	uncharacterized LOC116410926
LOC116410927	GeneID:116410927	NA	guanylin-like
LOC116410929	GeneID:116410929	NA	protein kinase C theta type-like
LOC116410930	GeneID:116410930	NA	uncharacterized LOC116410930
LOC116410931	GeneID:116410931	NA	putative coiled-coil domain-containing protein 195
LOC116410934	GeneID:116410934	NA	uncharacterized LOC116410934
LOC116410937	GeneID:116410937	NA	centrosomal protein of 162 kDa-like
LOC116410939	GeneID:116410939	NA	lamina-associated polypeptide 2
LOC116410940	GeneID:116410940	NA	interferon-induced very large GTPase 1-like
LOC116410941	GeneID:116410941	NA	CD109 antigen-like
LOC116410945	GeneID:116410945	NA	serine/threonine-protein kinase gad8-like
LOC116410947	GeneID:116410947	NA	protein kinase C theta type-like
LOC116410948	GeneID:116410948	NA	gamma-aminobutyric acid receptor subunit rho-1-like
LOC116410949	GeneID:116410949	NA	protein kinase C theta type-like
LOC116410952	GeneID:116410952	NA	protein kinase C theta type-like
LOC116410954	GeneID:116410954	NA	uncharacterized LOC116410954
LOC116410955	GeneID:116410955	NA	protein kinase C theta type-like
LOC116410958	GeneID:116410958	NA	protein kinase C delta type-like
LOC116410959	GeneID:116410959	NA	probable serine/threonine-protein kinase DDB_G0277449
LOC116410962	GeneID:116410962	NA	mitochondrial genome maintenance exonuclease 1-like
LOC116410963	GeneID:116410963	NA	uncharacterized LOC116410963
LOC116410964	GeneID:116410964	NA	HEAT repeat-containing protein 1-like
LOC116410966	GeneID:116410966	NA	helicase SWR1-like
LOC116410967	GeneID:116410967	NA	G-protein coupled receptor family C group 6 member A-like
LOC116410969	GeneID:116410969	NA	uncharacterized LOC116410969
LOC116410971	GeneID:116410971	NA	centrosomal protein of 162 kDa-like
LOC116410973	GeneID:116410973	NA	hormonally up-regulated neu tumor-associated kinase-like
LOC116410974	GeneID:116410974	NA	hormonally up-regulated neu tumor-associated kinase homolog A-like
LOC116410975	GeneID:116410975	NA	protein kinase C theta type-like
LOC116410976	GeneID:116410976	NA	CD109 antigen-like
LOC116410979	GeneID:116410979	NA	uncharacterized serine-rich protein C215.13-like
LOC116410980	GeneID:116410980	NA	mucin-like protein
LOC116410981	GeneID:116410981	NA	mucin-4-like
LOC116410982	GeneID:116410982	NA	receptor-transporting protein 4-like
LOC116410983	GeneID:116410983	NA	uncharacterized LOC116410983
LOC116410987	GeneID:116410987	NA	protein kinase C delta type-like
LOC116410988	GeneID:116410988	NA	ubiquitin carboxyl-terminal hydrolase 36-like
LOC116410989	GeneID:116410989	NA	ubiquitin carboxyl-terminal hydrolase 42-like
LOC116410990	GeneID:116410990	NA	protein kinase C theta type-like
LOC116410991	GeneID:116410991	NA	protein kinase C theta type-like
LOC116410992	GeneID:116410992	NA	protein kinase C delta type-like
LOC116410994	GeneID:116410994	NA	protein kinase C delta type-like
LOC116410995	GeneID:116410995	NA	serine/threonine-protein kinase N2-like
LOC116410996	GeneID:116410996	NA	uncharacterized LOC116410996
LOC116410997	GeneID:116410997	NA	uncharacterized LOC116410997
LOC116410998	GeneID:116410998	NA	extensin-like
LOC116410999	GeneID:116410999	NA	tubulin monoglycylase TTLL3-like
LOC116411000	GeneID:116411000	NA	tubulin monoglycylase TTLL3-like
LOC116411002	GeneID:116411002	NA	adhesion G protein-coupled receptor F5-like
LOC116411003	GeneID:116411003	NA	stress protein DDR48-like
LOC116411006	GeneID:116411006	NA	olfactory receptor 1019-like
LOC116411007	GeneID:116411007	NA	uncharacterized LOC116411007
LOC116411008	GeneID:116411008	NA	vomeronasal type-2 receptor 26-like
LOC116411009	GeneID:116411009	NA	vomeronasal type-2 receptor 26-like
LOC116411010	GeneID:116411010	NA	vomeronasal type-2 receptor 26-like
LOC116411011	GeneID:116411011	NA	vomeronasal type-2 receptor 26-like
LOC116411012	GeneID:116411012	NA	vomeronasal type-2 receptor 26-like
LOC116411013	GeneID:116411013	NA	vomeronasal type-2 receptor 26-like
LOC116411014	GeneID:116411014	NA	vomeronasal type-2 receptor 26-like
LOC116411015	GeneID:116411015	NA	vomeronasal type-2 receptor 26-like
LOC116411016	GeneID:116411016	NA	vomeronasal type-2 receptor 26-like
LOC116411017	GeneID:116411017	NA	vomeronasal type-2 receptor 26-like
LOC116411018	GeneID:116411018	NA	vomeronasal type-2 receptor 26-like
LOC116411019	GeneID:116411019	NA	vomeronasal type-2 receptor 26-like
LOC116411020	GeneID:116411020	NA	vomeronasal type-2 receptor 26-like
LOC116411021	GeneID:116411021	NA	vomeronasal type-2 receptor 26-like
LOC116411023	GeneID:116411023	NA	vomeronasal type-2 receptor 116-like
LOC116411024	GeneID:116411024	NA	olfactory receptor 13H1-like
LOC116411025	GeneID:116411025	NA	olfactory receptor 13H1-like
LOC116411026	GeneID:116411026	NA	vomeronasal type-2 receptor 26-like
LOC116411027	GeneID:116411027	NA	uncharacterized LOC116411027
LOC116411028	GeneID:116411028	NA	vomeronasal type-2 receptor 26-like
LOC116411029	GeneID:116411029	NA	vomeronasal type-2 receptor 26-like
LOC116411030	GeneID:116411030	NA	vomeronasal type-2 receptor 26-like
LOC116411031	GeneID:116411031	NA	vomeronasal type-2 receptor 26-like
LOC116411032	GeneID:116411032	NA	vomeronasal type-2 receptor 26-like
LOC116411033	GeneID:116411033	NA	vomeronasal type-2 receptor 26-like
LOC116411034	GeneID:116411034	NA	vomeronasal type-2 receptor 26-like
LOC116411035	GeneID:116411035	NA	vomeronasal type-2 receptor 26-like
LOC116411038	GeneID:116411038	NA	vomeronasal type-2 receptor 26-like
LOC116411039	GeneID:116411039	NA	vomeronasal type-2 receptor 26-like
LOC116411040	GeneID:116411040	NA	vomeronasal type-2 receptor 26-like
LOC116411041	GeneID:116411041	NA	vomeronasal type-2 receptor 26-like
LOC116411042	GeneID:116411042	NA	vomeronasal type-2 receptor 26-like
LOC116411043	GeneID:116411043	NA	otoferlin-like
LOC116411045	GeneID:116411045	NA	taste receptor type 2 member 1-like
LOC116411046	GeneID:116411046	NA	gastrula zinc finger protein XlCGF17.1-like
LOC116411047	GeneID:116411047	NA	octapeptide-repeat protein T2-like
LOC116411048	GeneID:116411048	NA	octapeptide-repeat protein T2-like
LOC116411049	GeneID:116411049	NA	all-trans retinoic acid induced differentiation factor
LOC116411050	GeneID:116411050	NA	extensin-like
LOC116411051	GeneID:116411051	NA	proline-rich extensin-like protein EPR1
LOC116411052	GeneID:116411052	NA	extracellular calcium-sensing receptor-like
LOC116411053	GeneID:116411053	NA	loricrin-like
LOC116411054	GeneID:116411054	NA	vomeronasal type-2 receptor 26-like
LOC116411055	GeneID:116411055	NA	uncharacterized LOC116411055
LOC116411056	GeneID:116411056	NA	zinc finger CCHC domain-containing protein 3-like
LOC116411057	GeneID:116411057	NA	protein kinase C-like
LOC116411062	GeneID:116411062	NA	homeobox protein Mix.1-like
LOC116411063	GeneID:116411063	NA	protein kinase C delta type-like
LOC116411067	GeneID:116411067	NA	location of vulva defective 1-like
LOC116411068	GeneID:116411068	NA	transcription factor 23-like
LOC116411070	GeneID:116411070	NA	uncharacterized LOC116411070
LOC116411074	GeneID:116411074	NA	guanylin-like
LOC116411075	GeneID:116411075	NA	uncharacterized LOC116411075
LOC116411078	GeneID:116411078	NA	flap endonuclease GEN homolog 1-like
LOC116411082	GeneID:116411082	NA	P2X purinoceptor 7-like
LOC116411083	GeneID:116411083	NA	solute carrier family 22 member 7-like
LOC116411086	GeneID:116411086	NA	uncharacterized LOC116411086
LOC116411089	GeneID:116411089	NA	extended synaptotagmin-1-like
LOC116411092	GeneID:116411092	NA	enolase-phosphatase E1-like
LOC116411093	GeneID:116411093	NA	adhesion G protein-coupled receptor F5-like
LOC116411094	GeneID:116411094	NA	uncharacterized LOC116411094
LOC116411095	GeneID:116411095	NA	protein kinase C eta type-like
LOC116411106	GeneID:116411106	NA	small cysteine-rich protein 1-like
LOC116411110	GeneID:116411110	NA	uncharacterized LOC116411110
LOC116411111	GeneID:116411111	NA	DNA damage-regulated autophagy modulator protein 1-like
LOC116411112	GeneID:116411112	NA	uncharacterized LOC116411112
